1,2
1,21
2,1
2,22
3,25
3,38
4,5
4,38
4,52
5,4
5,6
5,8
6,5
6,7
7,6
7,8
8,5
8,7
8,9
8,52
8,53
9,8
9,10
9,54
10,9
10,11
10,55
11,10
11,12
11,56
12,11
12,13
12,57
13,12
13,14
13,58
14,13
14,15
15,14
15,16
16,15
16,17
16,61
17,16
17,18
17,62
18,17
18,19
18,63
19,18
19,64
20,21
20,27
20,31
21,20
21,1
21,22
21,33
22,2
22,23
22,34
22,21
23,22
23,24
23,35
24,23
24,25
24,36
25,24
25,37
25,3
26,27
26,39
27,26
27,40
27,28
27,20
28,27
28,41
28,29
28,31
29,28
29,42
29,30
29,32
30,29
30,32
30,45
30,43
31,20
31,28
31,32
32,31
32,29
32,30
32,33
33,32
33,21
33,34
33,46
34,22
34,33
34,47
34,35
35,23
35,34
35,48
35,36
36,24
36,35
36,37
36,49
37,25
37,36
37,38
37,50
38,3
38,37
38,51
38,4
39,26
39,40
39,65
40,27
40,39
40,41
40,66
41,28
41,40
41,67
41,42
42,29
42,41
42,43
42,68
43,30
43,42
43,69
43,44
44,43
44,45
44,70
44,72
45,30
45,44
45,46
46,33
46,45
46,47
46,75
47,34
47,46
47,48
47,76
48,35
48,47
48,77
48,49
49,36
49,48
49,50
49,78
50,37
50,49
50,51
50,82
51,38
51,50
51,52
51,83
52,4
52,51
52,53
52,83
52,81
53,8
53,52
53,54
54,53
54,55
54,84
55,10
55,54
55,84
55,56
56,11
56,55
56,57
56,85
57,12
57,56
57,58
57,86
58,13
58,57
58,59
58,87
59,58
59,60
59,88
60,59
60,61
60,89
61,16
61,60
61,62
61,90
62,17
62,61
62,63
62,91
63,18
63,62
63,64
63,92
64,19
64,63
64,93
65,39
65,66
65,95
66,40
66,65
66,67
66,96
67,41
67,66
67,68
67,97
68,42
68,67
68,69
68,98
69,43
69,68
69,70
69,99
70,44
70,69
70,71
70,100
71,72
71,70
71,74
71,101
72,44
72,71
72,73
73,72
73,74
73,75
74,73
74,71
74,102
74,103
75,46
75,73
75,76
75,104
76,47
76,75
76,77
76,105
77,48
77,76
77,78
77,108
78,49
78,77
78,79
78,105
78,109
79,82
79,78
79,80
79,110
80,83
80,79
80,81
80,111
81,52
81,80
81,84
81,112
82,50
82,79
82,78
82,83
83,51
83,52
83,82
83,80
84,54
84,55
84,81
84,85
84,113
85,56
85,84
85,86
85,113
86,57
86,85
86,87
86,114
87,58
87,86
87,88
87,115
88,59
88,87
88,89
88,116
89,60
89,88
89,90
89,117
90,61
90,89
90,91
90,118
91,62
91,90
91,92
91,119
92,63
92,91
92,93
92,120
93,64
93,92
93,94
93,121
94,93
94,112
95,65
95,96
95,123
96,66
96,95
96,97
96,124
97,67
97,96
97,98
97,125
98,68
98,97
98,99
98,126
99,69
99,98
99,100
99,127
100,70
100,99
100,101
100,128
101,71
101,100
101,102
101,129
102,74
102,101
102,103
102,130
103,104
103,74
103,102
103,130
103,131
103,133
103,137
103,106
